Waf: Entering directory `/Users/morgantrench/Desktop/ns-allinone-3.25/ns-3.25/build'
Waf: Leaving directory `/Users/morgantrench/Desktop/ns-allinone-3.25/ns-3.25/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (2.669s)
0,	0 kbps, 	-0 average kbps, 
1,	0 kbps, 	-0 average kbps, 
2,	0 kbps, 	-0 average kbps, 
3,	0 kbps, 	-0 average kbps, 
4,	0 kbps, 	-0 average kbps, 
5,	0 kbps, 	-0 average kbps, 
6,	0 kbps, 	-0 average kbps, 
7,	0 kbps, 	-0 average kbps, 
8,	0 kbps, 	-0 average kbps, 
9,	0 kbps, 	-0 average kbps, 
10,	0 kbps, 	-0 average kbps, 
11,	0 kbps, 	-0 average kbps, 
12,	0 kbps, 	-0 average kbps, 
13,	0 kbps, 	-0 average kbps, 
14,	0 kbps, 	-0 average kbps, 
15,	0 kbps, 	-0 average kbps, 
16,	0 kbps, 	-0 average kbps, 
17,	0 kbps, 	-0 average kbps, 
18,	0 kbps, 	-0 average kbps, 
19,	0 kbps, 	-0 average kbps, 
20,	0 kbps, 	-0 average kbps, 
21,	0 kbps, 	-0 average kbps, 
22,	0 kbps, 	-0 average kbps, 
23,	0 kbps, 	-0 average kbps, 
24,	0 kbps, 	-0 average kbps, 
25,	0 kbps, 	-0 average kbps, 
26,	0 kbps, 	-0 average kbps, 
27,	0 kbps, 	-0 average kbps, 
28,	0 kbps, 	-0 average kbps, 
29,	0 kbps, 	-0 average kbps, 
30,	0 kbps, 	-0 average kbps, 
31,	0 kbps, 	-0 average kbps, 
32,	0 kbps, 	-0 average kbps, 
33,	0 kbps, 	-0 average kbps, 
34,	0 kbps, 	-0 average kbps, 
35,	0 kbps, 	-0 average kbps, 
36,	0 kbps, 	-0 average kbps, 
37,	0 kbps, 	-0 average kbps, 
38,	0 kbps, 	-0 average kbps, 
39,	0 kbps, 	-0 average kbps, 
40,	0 kbps, 	-0 average kbps, 
41,	0 kbps, 	-0 average kbps, 
42,	0 kbps, 	-0 average kbps, 
43,	0 kbps, 	-0 average kbps, 
44,	0 kbps, 	-0 average kbps, 
45,	0 kbps, 	-0 average kbps, 
46,	0 kbps, 	-0 average kbps, 
47,	0 kbps, 	-0 average kbps, 
48,	0 kbps, 	-0 average kbps, 
49,	0 kbps, 	-0 average kbps, 
50,	0 kbps, 	-0 average kbps, 
51,	0 kbps, 	-0 average kbps, 
52,	0 kbps, 	-0 average kbps, 
53,	0 kbps, 	-0 average kbps, 
54,	0 kbps, 	-0 average kbps, 
55,	0 kbps, 	-0 average kbps, 
56,	0 kbps, 	-0 average kbps, 
57,	0 kbps, 	-0 average kbps, 
58,	0 kbps, 	-0 average kbps, 
59,	0 kbps, 	-0 average kbps, 
60,	0 kbps, 	-0 average kbps, 
61,	0 kbps, 	-0 average kbps, 
62,	0 kbps, 	-0 average kbps, 
63,	0 kbps, 	-0 average kbps, 
64,	0 kbps, 	-0 average kbps, 
